StoreNumber,Country,Longitude,Latitude
425,USA,-85.1498373,35.0349977
426,USA,-78.74240644,35.75656692
428,USA,-93.80053328,32.40996983
432,USA,-94.142988,36.13030103
433,USA,-80.9497,34.0717
434,USA,-83.846538,34.291416
435,USA,-82.53655466,37.50334087
436,USA,-80.3132,36.0646
437,USA,-79.2332,37.3475
438,USA,-87.2179,30.481
439,USA,-76.2517,36.7636
440,USA,-82.1809178,29.15058829
441,USA,-86.2202158,32.35480957
442,USA,-86.11971844,39.63722305
444,USA,-78.581771,35.845558
445,USA,-77.874,34.2352
446,USA,-78.385683,40.49372
447,USA,-80.419561,37.163488
448,USA,-85.655668,30.188325
449,USA,-79.79347914,35.6931777
450,USA,-92.05993007,32.49327084
451,USA,-86.43698832,36.94853982
452,USA,-76.7209,38.9517
453,USA,-83.83630599,39.94561097
454,USA,-82.2668,38.4169
455,USA,-82.529,38.4093
456,USA,-82.12773574,36.63693072
457,USA,-81.11088,35.25784
458,USA,-80.87888,35.816435
459,USA,-80.027406,35.99167
460,USA,-85.8810464,37.73117289
461,USA,-91.09313617,30.46233531
462,USA,-94.34369313,35.35095563
463,USA,-95.30179816,32.28599231
464,USA,-84.2170073,37.99764451
465,USA,-88.69203178,37.07254999
466,USA,-89.08739123,30.39605927
467,USA,-81.2908,28.9122
468,USA,-78.8336,39.6433
469,USA,-82.5743,34.8248
470,USA,-82.957638,35.521516
471,USA,-77.7639,39.6294
472,USA,-82.97419308,39.35261782
473,USA,-81.55191,39.312662
474,USA,-85.57424373,38.24030157
476,USA,-77.5081,38.2985
477,USA,-82.86258591,38.73460023
478,USA,-80.613438,36.485716
479,USA,-86.6388,30.4424
480,USA,-80.2746,36.1838
481,USA,-87.63011734,34.82772306
482,USA,-82.0924,33.5081
483,USA,-83.67098491,32.62063669
484,USA,-92.0686449,30.17048194
485,USA,-85.227246,34.946979
486,USA,-84.08225375,35.91844883
487,USA,-79.0126,35.9459
488,USA,-78.64986904,35.72451036
489,USA,-80.865247,35.446358
490,USA,-80.25785596,35.79292255
491,USA,-84.20984353,31.61439754
492,USA,-84.8990311,38.16296067
493,USA,-89.1961936,37.73347615
494,USA,-84.09956258,36.97178821
495,USA,-80.460153,35.654587
496,USA,-88.847345,35.668418
497,USA,-80.046679,32.937564
498,USA,-87.30508751,36.57520187
499,USA,-81.1094,33.9785
